,sentence,tags
0,The mortgage interest rate is significantly different depending on the loan type you choose.,O B-DER I-DER I-DER O O O O O O B-BAS I-BAS O O O 
1,The person’s health status and the quality of life define the overall quality of life. ,O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER O 
2,The performance score is calculated from the KPI data and the project data. ,O B-DER I-DER O B-ACT O O B-BAS I-BAS O O B-BAS I-BAS O 
3,The lender may also request credit reports from credit agencies to assess the credit health of the borrower.,O O O O O B-BAS I-BAS O O O O B-ACT O B-DER I-DER I-DER I-DER I-DER O 
4,"To determine if someone suffers from Autism, the follow criteria are considered: problems in the field of social communication and social interaction; Limited, repetitive behavioral patterns, interests, or activities; and Hypersensitivity or hypersensitivity to sensory stimuli.",O B-ACT O B-DER I-DER I-DER I-DER O O O O O O O O O O O O B-BAS I-BAS O B-BAS I-BAS O O O O B-BAS I-BAS O B-BAS O O B-BAS O O O O O O B-BAS I-BAS O 
5,Your shipping fees when buying items from a seller on Amazon.com depend on the type of product you purchase.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS O O O 
6,The vaccination period in which you can get tested depends on your country’s testing capacity and your risk of infection.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O 
7,"And lenders frequently review borrowers' scores, especially when deciding whether to change an interest rate or credit limit on a credit card. ",O O O O B-BAS I-BAS I-BAS O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
8,"sport we play today, which determines the burned calories. ",B-BAS I-BAS I-BAS I-BAS O O B-ACT O B-DER I-DER O 
9,"credit history, which includes the number of open accounts, total levels of debt, repayment history, and other factors.",B-DER I-DER O O B-ACT O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
10,"In order to decide on the routing of an application, the eligibility and application risk are determined.",O O O B-ACT O O B-DER I-DER I-DER I-DER O O B-BAS O B-BAS I-BAS O O O 
11,"The scoring determines the employee bonus, which determines the monthly enumeration.",O B-BAS B-ACT O B-DER I-DER O O B-ACT O B-DER I-DER O 
